Lektion,Deutsch,Turkisch,Arabisch (العربية),Farsi (فارسی),Kurdisch (Kurmancî),Ukrainisch (Українська),Englisch,Beispiel Satz
5,"die Choreographie, -n",Koreografi,تصميم رقص,طراحی رقص,Koreografî,хореографія,choreography,Die moderne Choreographie des Ensembles beeindruckte das Publikum durch ihre Dynamik und Präzision.
5,ausprobieren,Denemek,يجرب,امتحان کردن,Ceribandin,випробувати,to try out,"Man sollte im Leben immer wieder neue Dinge ausprobieren, um seinen Horizont stetig zu erweitern."
5,(herum)hüpfen,(Etrafta) Zıplamak,يقفز (هنا وهناك),بالا و پایین پریدن,Sêr kutan,стрибати (навколо),to hop (around),"Die Kinder hüpften vor Freude im ganzen Haus herum, als sie von dem Ausflug in den Zoo hörten."
5,klatschen,Alkışlamak,يصفق,دست زدن,Çepik lê dan,аплодувати,to clap,Nach der großartigen Vorstellung begannen die Zuschauer begeistert Beifall zu klatschen.
5,schütteln,Sallamak,يهز,تکان دادن,Hejandin,трусити,to shake,Er konnte über so viel Ignoranz nur fassungslos den Kopf schütteln und den Raum verlassen.
6,"die Galerie, -n",Galeri,معرض فنون,گالری,Galeri,галерея,gallery,"In dieser Galerie werden ausschließlich Werke zeitgenössischer Künstler ausgestellt, die sich mit dem Klimawandel befassen."
6,kulinarisch,Mutfakla ilgili,طهوي,مربوط به آشپزی,Tîmara xwarinê,кулінарний,culinary,"Die Stadt bietet eine große kulinarische Vielfalt, die von traditioneller Hausmannskost bis hin zu exzellenter Sterneküche reicht."
6,"die App, -s",Uygulama,تطبيق,اپلیکیشن,App / Bername,додаток,app,"Dank dieser neuen App ist es nun möglich, die Route des öffentlichen Nahverkehrs in Echtzeit auf dem Smartphone zu verfolgen."
6,"der Betrieb, -e",İşletme / Çalışma,مؤسسة / تشغيل,واحد صنعتی / کار,Kargeh / Şixulandin,підприємство / експлуатація,business / operation,"Viele kleine Betriebe mussten während der Wirtschaftskrise schließen, da die Fixkosten für die Miete zu hoch wurden."
6,in Betrieb sein,Çalışır durumda olmak,قيد التشغيل,در حال کار بودن,Di xebatê de bûn,бути в експлуатації,to be in operation,Die neue Filteranlage der Fabrik wird voraussichtlich erst ab nächstem Monat voll in Betrieb sein.
6,"die Funktionsweise, -n",İşleyiş biçimi,طريقة العمل,طرز کار,Şêweya xebatê,принцип роботи,functionality,Der Ingenieur erklärte den Anwohnern die genaue Funktionsweise der neuen Windkraftanlage vor den Toren der Stadt.
6,herausfiltern,Süzüp ayıklamak,يستخلص / يصفي,فیلتر کردن,Parzinîn,відфільтрувати,to filter out,"Moderne Suchmaschinen können irrelevante Informationen sehr präzise herausfiltern, um dem Nutzer nur die besten Ergebnisse zu zeigen."
6,sich verfahren,Yolunu şaşırmak (araçla),يضل الطريق (بالسيارة),راه را گم کردن (با ماشین),Rê şaş kirin,збитися з дороги (їдучи),to get lost (driving),"Da das Navigationssystem ausfiel, haben wir uns in den engen Gassen der Altstadt völlig verfahren."
6,vornehm,Seçkin / Soylu,راقٍ / فخم,شیک / اشرافی,Kibar / Hêja,вишуканий / шляхетний,elegant / posh,"Das Viertel ist für seine vornehmen Villen bekannt, in denen früher ausschließlich wohlhabende Adelsfamilien lebten."
6,der Auslauf (Sg.),Hareket alanı,مجال حركة,محوطه تمرین / دویدن,Cihê gerê,вигул / місце для руху,movement space,"Da Hunde in der Stadt oft an der Leine gehen müssen, brauchen sie in Parks genügend Auslauf, um sich auszutoben."
6,"die Kuppel, -n",Kubbe,قبة,گنبد,Qube,купол,dome,Von der gläsernen Kuppel des Reichstagsgebäudes aus hat man einen atemberaubenden Blick über die gesamte Hauptstadt.
6,"das Label, -s",Etiket / Marka,علامة تجارية / ملصق,برچسب / برند,Label / Marka,лейбл / етикетка,label,Dieses junge Mode-Label setzt konsequent auf Nachhaltigkeit und verwendet ausschließlich organische Materialien aus der Region.
6,"das Meisterwerk, -e",Başyapıt,شاهقة فنية,شاهکار,Şahberhem,шедевр,masterpiece,Die Kathedrale gilt als architektonisches Meisterwerk der Gotik und zieht jährlich Millionen von Touristen an.
6,"die Prominenz, -en",Ünlüler,مشاهير,افراد مشهور,Kesên navdar,знаменитості,celebrities,"Während der Filmfestspiele versammelt sich die internationale Prominenz in der Stadt, um die neuesten Premieren zu feiern."
6,"der Schwerpunkt, -e",Ağırlık merkezi / Odak,مركز الثقل / تركيز,نقطه تمرکز,Navenda giraniyê,центр тяжіння / пріоритет,focus / emphasis,"Der Schwerpunkt der neuen Stadtplanung liegt auf dem Ausbau der Fahrradwege, um den Autoverkehr deutlich zu reduzieren."
6,"das Spektakel, -",Gösteri / Tantana,مشهد مثير / ضجة,منظره / نمایش جنجالی,Spektakel / Şano,видовище,spectacle,"Das Feuerwerk am Hafen war ein beeindruckendes Spektakel, das den nächtlichen Himmel in bunte Farben tauchte."
6,"das Uhrwerk, -e",Saat mekanizması,آلية الساعة,چرخ‌دنده ساعت,Mekanîzmaya saetê,годинниковий механізм,clockwork,"Die alte Kirchturmuhr verfügt über ein mechanisches Uhrwerk, das noch heute regelmäßig von Hand aufgezogen werden muss."
6,sich blicken lassen,Görünmek / Ortaya çıkmak,يظهر للعيان,خودی نشان دادن,Xwe nîşan dan,показуватися,to show one's face,"Nach seinem Skandal wagte es der Politiker für lange Zeit nicht, sich wieder in der Öffentlichkeit blicken zu lassen."
6,flanieren,Gezinmek / Piyasa yapmak,يتنزه ببطء,قدم زدن,Geriyan,фланувати / прогулюватися,to stroll,"An sonnigen Sonntagen lieben es die Menschen, gemütlich über die breite Promenade am Flussufer zu flanieren."
6,vereinen,Birleştirmek,يوحد / يجمع,متحد کردن,Yek kirin,об'єднувати,to unite,Die neue Architektur des Gebäudes vereint auf geschickte Weise moderne Glaselemente mit historischem Mauerwerk.
6,begeistert sein von,...ye hayran olmak,متحمس لـ,مشتاق چیزی بودن,Heyran bûn bi,бути захопленим чимось,to be enthusiastic about,"Die Architekten waren absolut begeistert von der Idee, die alte Fabrikhalle in ein modernes Kulturzentrum umzuwandeln."
6,bekannt sein für,...ile tanınmak,معروف بـ,مشهور بودن برای,Bi ... tê naskirin,бути відомим чимось,to be known for,Berlin ist weltweit bekannt für seine vielfältige Clubkultur und seine bewegte Geschichte während des Kalten Krieges.
6,beliebt sein bei,...arasında popüler olmak,محبوب لدى,محبوب بودن نزد,Hezkirî bûn li cem,бути популярним серед,to be popular with,"Der Stadtpark ist besonders bei jungen Familien beliebt, da er über viele Spielplätze und große Wiesen verfügt."
6,berühmt sein für,...ile ünlü olmak,مشهور بـ,نامدار بودن برای,Navdar bûn bi,бути славетним чимось,to be famous for,Wien ist unter anderem berühmt für seine traditionsreichen Kaffeehäuser und die klassische Musik von Mozart.
6,stolz sein auf (+Akk),...ile gurur duymak,فخور بـ,افتخار کردن به,Serbilind bûn bi,пишатися чимось,to be proud of,"Die Bürger sind sichtlich stolz auf ihre sanierte Altstadt, die nun zum UNESCO-Weltkulturerbe gehört."
6,überrascht sein über,...ye şaşırmak,متفاجئ من,غافلگیر شدن از,Ecêbgirtî bûn,бути здивованим чимось,to be surprised about,Die Stadtverwaltung war sehr überrascht über die hohe Beteiligung der Bürger an der Befragung zur neuen Autobahn.
6,zufrieden sein mit,...den memnun olmak,راضٍ عن,راضی بودن از,Razî bûn bi,бути задоволеним чимось,to be satisfied with,"Die meisten Anwohner sind mit der neuen Parkregelung zufrieden, da es nun weniger Suchverkehr in den Straßen gibt."
6,charakteristisch,Karakteristik / Özgü,مميز / خاص,مشخصه / بارز,Taybet,характерний,characteristic,Die roten Backsteinhäuser sind charakteristisch für das Stadtbild vieler norddeutscher Hansestädte wie Hamburg.
6,einstig,Eski / Bir zamanki,سابق,پیشین / سابق,Berê,колишній,former,In dem einstigen Industriegebiet entstehen heute moderne Wohnungen und großzügige Parkanlagen für die Bevölkerung.
6,legendär,Efsanevi,أسطوري,افسانه‌ای,Efsanewî,легендарний,legendary,Der Flohmarkt im Mauerpark ist längst legendär und zieht jedes Wochenende Tausende von Besuchern aus aller Welt an.
6,lohnenswert,Değer / Yararlı,يستحق العناء,ارزشمند,Hêja,вартий уваги,worthwhile,"Ein Ausflug zum Aussichtspunkt ist absolut lohnenswert, auch wenn der Aufstieg zu Fuß etwas anstrengend ist."
6,mittelalterlich,Orta Çağ'a ait,قروسطي,مربوط به قرون وسطی,Serdema navîn,середньовічний,medieval,Die mittelalterliche Stadtmauer ist fast vollständig erhalten und umschließt den historischen Kern des Ortes.
6,urban,Kentsel,حضري / مدني,شهری,Bajarî,міський / урбаністичний,urban,"Junge Leute bevorzugen oft ein urbanes Umfeld, in dem sie alle wichtigen Einrichtungen bequem zu Fuß erreichen können."
6,"die Infrastruktur, -en",Altyapı,بنية تحتية,زیرساخت,Binesazî,інфраструктура,infrastructure,Eine gut ausgebaute digitale Infrastruktur ist eine Grundvoraussetzung für die Ansiedlung neuer Technologieunternehmen.
6,"die Spalte, -n",Sütun / Kolon,عمود (في نص),ستون,Stûn,стовпець / колонка,column,In der rechten Spalte der Tabelle finden Sie die aktuellen Einwohnerzahlen der verschiedenen Stadtteile im Vergleich.
6,landeskundlich,Ülke bilgisi ile ilgili,متعلق بمعلومات البلد,مربوط به بوم‌شناسی,Welatnasî,країнознавчий,country-specific info,Das Seminar vermittelt landeskundliche Informationen über die politische Struktur und die kulturellen Traditionen Deutschlands.
6,"der Ausflügler, -",Gezgin / Turist,متنزه / رحالة,گردشگر,Gerok,екскурсант,day-tripper,"Am Wochenende strömen zahlreiche Ausflügler aus der Großstadt ins Umland, um die Natur in den Wäldern zu genießen."
6,"die Fassade, -n",Dış cephe,واجهة مبنى,نما,Dêm / Fasad,фасад,facade,"Die prunkvolle Fassade des Opernhauses wurde aufwendig restauriert, um den Glanz vergangener Zeiten wiederherzustellen."
6,"die Hauptverkehrsader, -n",Ana trafik damarı,شريان مروري رئيسي,شریان اصلی ترافیک,Rêya sereke,головна транспортна артерія,main thoroughfare,Wegen eines schweren Unfalls auf der Hauptverkehrsader kam es am Montagmorgen im gesamten Stadtzentrum zum Verkehrschaos.
6,"der Stadtrand, -¨er",Şehir dışı / Kenar mahalle,ضواحي المدينة,حاشیه شهر,Qeraxa bajêr,околиця міста,outskirts,"Viele Familien ziehen an den Stadtrand, da die Mieten dort niedriger sind und es mehr Grünflächen für Kinder gibt."
6,"die Tagesstätte, -n",Gündüz bakımevi,دار رعاية نهارية,مرکز مراقبت روزانه,Kreş,денний стаціонар / дитсадок,daycare center,"Die Stadt plant den Bau einer neuen Kindertagesstätte, um den steigenden Bedarf an Betreuungsplätzen zu decken."
6,das Umweltministerium,Çevre Bakanlığı,وزارة البيئة,وزارت محیط زیست,Wezareta jîngehê,міністерство довкілля,ministry of environment,Das Umweltministerium hat neue Richtlinien zur Reduzierung der Feinstaubbelastung in Ballungsgebieten verabschiedet.
6,auffrischen,Tazelemek,ينعش / يجدد,تازه کردن,Nû kirin,освіжити,to refresh,"Ich müsste meine Sprachkenntnisse dringend wieder auffrischen, bevor ich meine Geschäftsreise nach Frankreich antrete."
6,(sich) austauschen,Fikir alışverişinde bulunmak,يتبادل (الأفكار),تبادل نظر کردن,Guhertina ramanan,обмінюватися (думками),to exchange,"Die Bürgermeister der Region treffen sich regelmäßig, um sich über Probleme der Stadtentwicklung auszutauschen."
6,sanieren,Yenilemek / Onarmak,يرمم / يصلح,بازسازی کردن,Nûjen kirin,ремонтувати / оздоровлювати,to renovate,"Das alte Schulgebäude muss dringend saniert werden, da das Dach undicht ist und die Heizung nicht mehr funktioniert."
6,tauschen,Değiş tokuş yapmak,يقايض / يبدل,عوض کردن,Guhartin,міняти,to exchange,"Im Internet gibt es viele Portale, auf denen Menschen ihre Wohnungen für die Urlaubszeit miteinander tauschen."
6,sich wandeln,Değişmek / Dönüşmek,يتغير / يتحول,تغییر یافتن,Guherîn,змінюватися,to change / transform,Das ehemals graue Arbeiterviertel hat sich in den letzten Jahren zu einem trendigen Kiez mit vielen Cafés gewandelt.
6,wimmeln von,...ile kaynamak / Dolu olmak,يكتظ بـ,مملو بودن از,Tijî bûn bi,кишіти чимось,to teem with,"In der Vorweihnachtszeit wimmelt es in der Fußgängerzone nur so von Menschen, die Geschenke kaufen möchten."
6,eindrucksvoll,Etkileyici,مثير للإعجاب,چشمگیر,Bibandor,вражаючий,impressive,Das Denkmal in der Mitte des Platzes ist ein eindrucksvolles Mahnmal für die Opfer der vergangenen Kriege.
6,einspurig,Tek şeritli,بمسار واحد,تک‌بانده,Yekrê,односмуговий,single-lane,"Aufgrund der Baustelle ist die Brücke momentan nur einspurig befahrbar, was zu langen Staus im Berufsverkehr führt."
6,einzigartig,Eşsiz,فريد من نوعه,منحصربه‌فرد,Yekta,унікальний,unique,Die Atmosphäre in diesem historischen Viertel ist völlig einzigartig und lässt sich mit keiner anderen Stadt vergleichen.
